"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Impressions,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Other Clicks","Matched Audience Targeting Consumption (Photo Click)","Link Clicks","Matched Audience Targeting Consumption (Video Click)",REELS_PLAYS:COUNT,"Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Ad CPM (USD)","Ad impressions"
1170541895076609,100063624278058,"Bidhaan Health & Beauty","𝐌𝐮𝐝𝐧𝐚𝐚𝐧𝐭𝐞𝐞𝐧𝐮 𝐰𝐚𝐚 𝐜𝐚𝐚𝐟𝐢𝐦𝐚𝐚𝐝𝐤𝐚 𝐦𝐚𝐪𝐚𝐚𝐫𝐤𝐚𝐚𝐠𝐚.
𝑫𝒓 𝑵𝒂𝒔𝒊𝒊𝒃

#Bidhaan_Health_Beuaty
#Best_Skin_Care 
#Xarunta_Taleex",,0,"02/25/2025 23:18",N/A,https://www.facebook.com/bidhaanbeauty/posts/pfbid031njHKSfPXe3fUV9sup1JHNpvQVxC2LqikNeTqC1CVkEYL25rsDpj6XuUwaqHGodFl,0,0,Photos,,,,,Lifetime,662,449,449,3,1,0,2,14,7,7,,,,,,,,
1169946555136143,100063624278058,"Bidhaan Health & Beauty","Nagu soo Booqo Bandhiga Carwada Hooyo iyo Caruurta.

#Bidhaan_Health_Beuaty
#Best_skin_care",,0,"02/25/2025 05:46",N/A,https://www.facebook.com/bidhaanbeauty/posts/pfbid03NFT3ivrNNqNSWTMPfU7mz9Uht7uVhgEhXxme1rzArvqUxqJLzEqsyoKgEzpBxgVl,0,0,Photos,,,,,Lifetime,593,395,391,5,4,0,1,23,7,16,,,,,,,,
1168899208574211,100063624278058,"Bidhaan Health & Beauty","𝐔𝐌𝐀 𝐁𝐀𝐀𝐇𝐍𝐈𝐃 𝐏𝐑𝐎𝐃𝐔𝐂𝐓𝐒 𝐋𝐀 𝐗𝐀𝐘𝐄𝐄𝐘𝐒𝐈𝐘𝐀𝐘 𝐀𝐌𝐀 𝐃𝐈𝐒𝐂𝐎𝐔𝐍𝐓 𝐊𝐔 𝐉𝐈𝐑𝐓𝐀 𝐈𝐍𝐀𝐀 𝐈𝐈𝐁𝐒𝐀𝐓𝐈𝐃.

Fadlan nagala soo xiriir:
0770712173
#Bidhaan_Health_Beuaty
#Best_skin_care",,0,"02/23/2025 23:04",N/A,https://www.facebook.com/bidhaanbeauty/posts/pfbid0ySYdsB3h8L13A6bVG882Sy5pBrXjfxZnwqkhd3q2pKMmfHzYi4UQDfwzoo6Lw45Zl,0,0,Photos,,,,,Lifetime,1250,786,778,21,18,1,2,38,30,8,,,,,,,,
1167605095370289,100063624278058,"Bidhaan Health & Beauty","Tima daadashadu waa arrin dabiici ah oo qof walba ku dhici karta, laakiin haddii ay si xad dhaaf ah u dhacaan, waxay noqon kartaa dhibaato u baahan in la ogaado sababaha keenaya.

#Bidhaan_Health_Beuaty
#Best_skin_care","Tima daadashadu waa arrin dabiici ah oo qof walba ku dhici karta, laakiin haddii ay si xad dhaaf ah u dhacaan, waxay noqon kartaa dhibaato u baahan in la ogaado sababaha keenaya.

#Bidhaan_Health_Beuaty
#Best_skin_care",72,"02/22/2025 06:08",N/A,https://www.facebook.com/bidhaanbeauty/videos/1145590796698393/,0,0,Videos,,,,,Lifetime,5751,5916,4764,60,59,0,1,60,37,,23,,5751,24695.311,4.398,0,0,0
1166368915493907,100063624278058,"Bidhaan Health & Beauty","Jimca wanaagsan.",,0,"02/20/2025 17:54",N/A,https://www.facebook.com/bidhaanbeauty/posts/pfbid02G388UFe9w9BbHQkxTDxL27tenbF3tPnh2sp4TbtXks9yncuJUKyRkhkXZWUmENHZl,0,0,Photos,,,,,Lifetime,286,160,156,2,2,0,0,2,,2,,,,,,,,
1164925228971609,100063624278058,"Bidhaan Health & Beauty","𝐇𝐚𝐝𝐢𝐢 𝐚𝐚𝐝 𝐥𝐚 𝐝𝐡𝐢𝐛𝐚𝐧 𝐭𝐚𝐡𝐚𝐲 𝐜𝐢𝐫𝐛𝐚 𝐝𝐢𝐥𝐚𝐚𝐜𝐚 𝐰𝐚𝐱𝐚𝐚 𝐤𝐮𝐮 𝐡𝐚𝐲𝐧𝐚𝐚 𝐱𝐚𝐥 𝐥𝐚𝐠𝐚𝐚𝐠𝐚 𝐝𝐚𝐚𝐰𝐞𝐲𝐧𝐚𝐚𝐲𝐨 𝐟𝐚𝐝𝐥𝐚𝐧 𝐡𝐚 𝐢𝐬𝐤𝐮 𝐞𝐞𝐠𝐚𝐧𝐢𝐧.

#Bidhaan_Health_Beuaty
#Best_skin_care",,0,"02/19/2025 02:09",N/A,https://www.facebook.com/bidhaanbeauty/posts/pfbid02RCRwpERiTEoxQq2cBzsFfFUV3Y481vG9DygnWWKkzkAyYXUnV3B7Vdo7PDVivvbdl,0,0,Photos,,,,,Lifetime,637,408,396,3,2,0,1,17,13,4,,,,,,,,
1162486399215492,100063624278058,"Bidhaan Health & Beauty","Hel taagerada Aad ubahantahay Adoo kaashanaya Dadka Ehelka u ah Qibradana uleh Daryeelidda Maqaarka. 

#Bidhaan_Health_Beuaty
#Best_skin_care",,0,"02/16/2025 05:15",N/A,https://www.facebook.com/bidhaanbeauty/posts/pfbid02DqM8b8bqk2gLDGdD1QvUF3Eptc9V56yu5AnJeKDEkS5Jps5ts8k1nxp5zc88fMr3l,0,0,Photos,,,,,Lifetime,653,415,398,6,5,0,1,6,2,4,,,,,,,,
1161626035968195,100063624278058,"Bidhaan Health & Beauty","Daryeelka caafimaadka maqaarkaaga waa mudnaanteena 

#Bidhaan_Health_Beuaty
#Best_skin_care",,0,"02/15/2025 05:10",N/A,https://www.facebook.com/bidhaanbeauty/posts/pfbid0246BiaKr9Rx9N1ruW6NqJmnY7CDzKaWXXnvDQwQdBrBsKL9bA4N1UwjdvYFjpuBVMl,0,0,Photos,,,,,Lifetime,624,441,434,2,2,0,0,16,5,11,,,,,,,,
1160501159414016,100063624278058,"Bidhaan Health & Beauty","jimca kariim.

#Bidhaan_Health_Beuaty
#Best_skin_care",,0,"02/14/2025 00:08",N/A,https://www.facebook.com/bidhaanbeauty/posts/pfbid02s7ANeBDgf9XEd3vWv2ErZcdTBqW7B5xzdT3iUBqkGP2rbaH2u8jfVKUTFme1F41Pl,0,0,Photos,,,,,Lifetime,349,238,222,2,2,0,0,0,,,,,,,,,,
1159768536153945,100063624278058,"Bidhaan Health & Beauty","𝑴𝒖𝒅𝒏𝒂𝒂𝒏 𝑺𝒊𝒊 𝑫𝒂𝒓𝒚𝒆𝒆𝒍𝒌𝒂 𝒎𝒂𝒒𝒂𝒂𝒓𝒌𝒂𝒂𝒈𝒂.

Fadlan nagala soo xiriir:
0770712173
#Bidhaan_Health_Beuaty
#Best_skin_care",,0,"02/13/2025 04:08",N/A,https://www.facebook.com/bidhaanbeauty/posts/pfbid02EUv6GrEK6xmzezj6scky3oLCrsGvJHQvbb3m8fd6d753Y4pQJTNmQCwXsD8AiYzLl,0,0,Photos,,,,,Lifetime,674,476,460,4,4,0,0,20,14,6,,,,,,,,
