Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,
SOM,1970-01-01,1970-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1970,1970,SLC,0.0101439830,E
SOM,1971-01-01,1971-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1971,1971,SLC,0.0100865137,E
SOM,1972-01-01,1972-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1972,1972,SLC,0.0110953554,E
SOM,1973-01-01,1973-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1973,1973,SLC,0.0122745825,E
SOM,1974-01-01,1974-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1974,1974,SLC,0.0144506080,E
SOM,1975-01-01,1975-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1975,1975,SLC,0.0166597058,E
SOM,1976-01-01,1976-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1976,1976,SLC,0.0195367668,E
SOM,1977-01-01,1977-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1977,1977,SLC,0.0215627446,E
SOM,1978-01-01,1978-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1978,1978,SLC,0.0242169854,E
SOM,1979-01-01,1979-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1979,1979,SLC,0.0280134847,E
SOM,1980-01-01,1980-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1980,1980,SLC,0.0531135729,E
SOM,1981-01-01,1981-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1981,1981,SLC,0.0635727702,E
SOM,1982-01-01,1982-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1982,1982,SLC,0.0816484205,E
SOM,1983-01-01,1983-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1983,1983,SLC,0.1114265451,E
SOM,1984-01-01,1984-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1984,1984,SLC,0.1912173130,E
SOM,1985-01-01,1985-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1985,1985,SLC,0.2447928174,E
SOM,1986-01-01,1986-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1986,1986,SLC,0.3404099364,E
SOM,1987-01-01,1987-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1987,1987,SLC,0.4415325340,E
SOM,1988-01-01,1988-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1988,1988,SLC,0.7238145143,E
SOM,1989-01-01,1989-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1989,1989,SLC,1.4672043575,E
SOM,1990-01-01,1990-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1990,1990,SLC,4.6338745378,E
SOM,1991-01-01,1991-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1991,1991,SLC,6.2802444713,E
